dumbbell-overhead-row-to-crunch,Dumbbell,"back_hamstrings (40.0%), front_shoulders (40.0%)"
knee-plank,Bodyweight,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
med-ball-sit-up,Medball,
band-v-up-hold,Bands,
reverse-plank,Bodyweight,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
dumbbell-turkish-get-up,Dumbbell,"back_glutes (40.0%), back_hamstrings (40.0%), front_shoulders (40.0%)"
toes-to-bar,Pull-Up Bar,
yoga-ball-band-sit-up,"Bands, Yoga Ball",
single-kettlebell-lying-leg-raise,Kettlebell,front_hip_flexors (40.0%)
pull-up-bar-l-sit-hold,Pull-Up Bar,front_hip_flexors (40.0%)
single-kettlebell-turkish-get-up-to-bridge,Kettlebell,"back_glutes (40.0%), back_hamstrings (40.0%), front_shoulders (40.0%)"
med-ball-v-up-hold,Medball,
single-kettlebell-v-up-hold,Kettlebell,
yoga-ball-single-kettlebell-crunch,"Kettlebell, Yoga Ball",
dumbbell-toe-touch-crunch,Dumbbell,
bodyweight-turkish-get-up,Bodyweight,"back_glutes (40.0%), back_hamstrings (40.0%), front_shoulders (40.0%)"
yoga-ball-kneeling-rollout,Yoga Ball,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
bosu-dumbbell-sit-up,"Bosu, Dumbbell",
bosu-dumbbell-crunch,"Bosu, Dumbbell",
med-ball-overhead-med-ball-slam,Medball,
cobra-stretch,Bodyweight,
weighted-plank,Bodyweight,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
band-v-up,Bands,
one-arm-cable-plank-overhead-row,Cables,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
med-ball-v-up,Medball,
single-kettlebell-v-up,Kettlebell,
dumbbell-v-up-hold,Dumbbell,
knee-cover-crunch,Bodyweight,
single-kettlebell-overhead-row-to-crunch,Kettlebell,"back_hamstrings (40.0%), front_shoulders (40.0%)"
bosu-med-ball-sit-up,"Bosu, Medball",
