Exercise,primary,secondary
kettlebell-floor-iyt,front_traps,
kettlebell-alternating-lateral-front-raise,front_shoulders,
single-arm-single-kettlebell-chest-fly,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
single-kettlebell-swing-to-squat,back_hamstrings,"back_lower_back (40.0%), front_quads (40.0%), front_shoulders (40.0%)"
kettlebell-box-jump,front_quads,back_hamstrings (40.0%)
kettlebell-romanian-deadlift,back_hamstrings,back_glutes (40.0%)
kettlebell-step-down,front_quads,
kettlebell-floor-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
kettlebell-bulgarian-split-squat,front_quads,
kettlebell-step-up,front_quads,
kettlebell-wide-bent-over-row,back_lats,front_biceps (40.0%)
kettlebell-lunge-to-donkey-kick,front_quads,
single-kettlebell-lying-leg-raise,front_abs,front_hip_flexors (40.0%)
kettlebell-upright-row,front_shoulders,front_traps (40.0%)
single-kettlebell-turkish-get-up-to-bridge,front_abs,"back_glutes (40.0%), back_hamstrings (40.0%), front_shoulders (40.0%)"
staggered-stance-kettlebell-romanian-deadlift,back_hamstrings,back_glutes (40.0%)
kettlebell-face-pull,front_traps,
single-kettlebell-v-up-hold,front_abs,
single-kettlebell-floor-tricep-cycle,back_hamstrings,"front_chest (40.0%), front_shoulders (40.0%)"
kettlebell-kickback,back_hamstrings,
yoga-ball-single-kettlebell-crunch,front_abs,
kettlebell-waiters-carry,front_shoulders,
single-leg-kettlebell-box-squat,front_quads,back_hamstrings (40.0%)
kettlebell-forward-lunge,front_quads,
single-kettlebell-halo,front_shoulders,
seated-kettlebell-rear-delt-t,front_traps,
single-leg-kettlebell-hip-thrust,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
kettlebell-superman,back_lower_back,"back_hamstrings (40.0%), front_shoulders (40.0%), front_traps (40.0%)"
single-kettlebell-side-bend,front_obliques,
kettlebell-chest-supported-row,back_lats,"back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
kettlebell-lunge-and-press,front_shoulders,
kettlebell-box-squat,front_quads,back_hamstrings (40.0%)
kettlebell-jump-squat,front_quads,"back_calves (40.0%), back_hamstrings (40.0%)"
kettlebell-hip-thrust,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
half-kneeling-kettlebell-curl-to-press,front_shoulders,
kettlebell-half-squat,front_quads,"back_glutes (40.0%), back_hamstrings (40.0%)"
top-half-kettlebell-curl,front_biceps,
single-kettlebell-goblet-squat,front_quads,"back_hamstrings (40.0%), front_shoulders (40.0%)"
single-kettlebell-crunch-and-press,front_shoulders,front_chest (40.0%)
single-kettlebell-v-up,front_abs,
kettlebell-sumo-squat,front_quads,
kettlebell-wall-sit-with-curl,front_quads,back_glutes (40.0%)
kettlebell-double-windmill,front_obliques,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
kettlebell-lying-curl,front_biceps,
kettlebell-curl,front_biceps,
kettlebell-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
alternating-kettlebell-lateral-raise,front_shoulders,
kettlebell-lunge-to-lateral-raise,front_shoulders,
single-kettlebell-overhead-row-to-crunch,front_abs,"back_hamstrings (40.0%), front_shoulders (40.0%)"
kettlebell-hammer-curl,front_biceps,
single-kettlebell-one-arm-row,back_lats,front_biceps (40.0%)
kettlebell-floor-y,front_traps,
single-kettlebell-curl-switch,front_shoulders,front_traps (40.0%)
single-kettlebell-around-the-world,front_shoulders,
kettlebell-chest-fly,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
half-kneeling-bottoms-up-single-kettlebell-press,front_shoulders,front_abs (40.0%)
kettlebell-front-rack-lunge,front_quads,front_hip_flexors (40.0%)
kettlebell-curl-to-press,front_shoulders,
single-kettlebell-sit-up,front_abs,
seated-kettlebell-curl,front_biceps,
kettlebell-squat-hold,front_quads,"back_glutes (40.0%), back_hamstrings (40.0%)"
single-leg-kettlebell-deadlift-to-press,front_shoulders,front_quads (40.0%)
kettlebell-floor-chest-fly,front_chest,
kettlebell-toe-touch-crunch,front_abs,
kettlebell-arnold-press,front_shoulders,
single-kettlebell-side-plank-dip,front_obliques,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
single-kettlebell-standing-lumberjack,front_obliques,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
kettlebell-front-squat,front_quads,front_hip_flexors (40.0%)
kettlebell-squat,front_quads,"back_glutes (40.0%), back_hamstrings (40.0%)"
