Exercise,primary,secondary
bosu-dumbbell-sit-up,front_abs,
bosu-dumbbell-crunch,front_abs,
bosu-side-plank,front_obliques,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
bosu-high-plank,front_shoulders,front_obliques (40.0%)
bosu-burpee,front_quads,"back_calves (40.0%), back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
bosu-push-up,front_chest,back_hamstrings (40.0%)
bosu-med-ball-sit-up,front_abs,
bosu-med-ball-crunch,front_abs,
bosu-step-over,front_quads,back_glutes (40.0%)
bosu-band-sit-up,front_abs,
bosu-cable-sit-up,front_abs,
bosu-mountain-climber,front_hip_flexors,"back_hamstrings (40.0%), front_shoulders (40.0%)"
bosu-sit-up,front_abs,
bosu-crunch,front_abs,
bosu-high-side-plank,front_shoulders,front_abs (40.0%)
bosu-spiderman,front_shoulders,front_obliques (40.0%)
bosu-plank,front_abs,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
bosu-single-kettlebell-sit-up,front_abs,
bosu-half-burpee,front_shoulders,"back_glutes (40.0%), front_abs (40.0%), front_chest (40.0%), front_hip_flexors (40.0%)"
bosu-plank-to-push-up,front_shoulders,
