Exercise,primary,secondary
slider-curtsey,front_quads,"back_glutes (40.0%), back_hip_abductors (40.0%), front_hip_abductors (40.0%)"
chin-to-chest-stretch,front_neck,
pike-push-up,front_shoulders,
knee-plank,front_abs,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
lateral-bear-crawl,front_shoulders,"back_hip_abductors (40.0%), back_hip_adductors (40.0%), front_hip_abductors (40.0%), front_hip_adductors (40.0%)"
bicep-push-up,front_chest,"back_hamstrings (40.0%), front_biceps (40.0%), front_shoulders (40.0%)"
external-rotation,front_shoulders,
bear-crawl-sit-through,front_shoulders,front_abs (40.0%)
sled-pull,back_hamstrings,"back_glutes (40.0%), front_biceps (40.0%), front_quads (40.0%)"
scorpion-stretch,back_lower_back,
kneeling-overhead-oblique-stretch,front_obliques,
floor-i,front_traps,
high-knee,front_hip_flexors,"back_glutes (40.0%), front_abs (40.0%)"
butterfly-stretch,front_hip_flexors,
reverse-plank-leg-raise,front_hip_flexors,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
slider-cross-body-knee-in,front_obliques,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
broad-jump,front_quads,back_calves (40.0%)
reverse-plank,front_abs,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
burpee,front_quads,"back_calves (40.0%), back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
tuck-jump,front_quads,front_hip_flexors (40.0%)
knee-to-chest-stretch,back_lower_back,back_glutes (40.0%)
slider-inchworm-to-push-up,front_chest,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
lateral-gorilla-crawl,front_shoulders,"back_hip_abductors (40.0%), back_hip_adductors (40.0%), front_hip_abductors (40.0%), front_hip_adductors (40.0%)"
reverse-crunch,front_hip_flexors,
bodyweight-leg-extension,front_quads,
side-straddle-stretch,back_hamstrings,back_lower_back (40.0%)
bodyweight-seated-hip-rotation-to-glute-squeeze,front_hip_abductors,
superman-hold,back_lower_back,"back_hamstrings (40.0%), front_shoulders (40.0%), front_traps (40.0%)"
bodyweight-turkish-get-up,front_abs,"back_glutes (40.0%), back_hamstrings (40.0%), front_shoulders (40.0%)"
walk,front_quads,"back_calves (40.0%), back_glutes (40.0%), back_hamstrings (40.0%)"
heel-touch,front_quads,
prone-leg-raise,back_lower_back,
jump-squat,front_quads,"back_calves (40.0%), back_hamstrings (40.0%)"
arm-extended-neck-stretch,front_traps,
dumbbell-plank-weight-drag-through,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
back-extension,back_lower_back,"back_glutes (40.0%), back_hamstrings (40.0%)"
step-jack,front_hip_abductors,"back_hamstrings (40.0%), front_shoulders (40.0%)"
