Exercise,primary,secondary
barbell-decline-bench-press,front_chest,back_hamstrings (40.0%)
single-arm-single-kettlebell-chest-fly,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
single-leg-dumbbell-hip-thrust,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
elevated-jackknife-crunch,front_hip_flexors,front_obliques (40.0%)
dumbbell-hip-thrust-hold,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
barbell-hip-thrust,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
alternating-dumbbell-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
yoga-ball-hip-thrust,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
single-leg-kettlebell-hip-thrust,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
seated-dumbbell-reverse-fly,front_traps,
barbell-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
kettlebell-chest-supported-row,back_lats,"back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
cable-decline-bench-press,front_chest,back_hamstrings (40.0%)
single-arm-dumbbell-chest-fly,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
kettlebell-hip-thrust,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
barbell-hip-thrust-hold,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
yoga-ball-med-ball-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
kettlebell-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-chest-supported-row,back_lats,"back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
incline-cable-row,back_lats,"back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
kettlebell-chest-fly,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
bodyweight-hip-thrust,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
cable-incline-bench-press,front_shoulders,
band-skull-crusher,back_hamstrings,
dumbbell-decline-bench-press,front_chest,back_hamstrings (40.0%)
bodyweight-hip-thrust-hold,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
band-decline-sit-up,front_abs,
elevated-burpee,front_shoulders,"front_abs (40.0%), front_hip_flexors (40.0%)"
kettlebell-decline-bench-press,front_chest,back_hamstrings (40.0%)
decline-sit-up,front_abs,
kettlebell-incline-bench-press,front_shoulders,
dumbbell-skull-crusher,back_hamstrings,
barbell-close-grip-bench-press,front_chest,
band-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
med-ball-skull-crusher,back_hamstrings,
cable-decline-sit-up,front_abs,
kettlebell-decline-sit-up,front_abs,
dumbbell-half-off-bench-press,front_chest,"back_hamstrings (40.0%), front_abs (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
kettlebell-skull-crusher,back_hamstrings,
alternating-band-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-hip-thrust,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
med-ball-decline-bench-press,front_chest,back_hamstrings (40.0%)
med-ball-decline-sit-up,front_abs,
machine-hammer-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
yoga-ball-dumbbell-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-single-leg-bridge-bench-press,front_chest,"back_hamstrings (40.0%), front_abs (40.0%), front_quads (40.0%)"
alternating-cable-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-bench-one-arm-row,back_lats,front_biceps (40.0%)
dumbbell-chest-fly,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-decline-sit-up,front_abs,
single-leg-barbell-hip-thrust,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
yoga-ball-kettlebell-hip-thrust,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
yoga-ball-kettlebell-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
barbell-skull-crusher,back_hamstrings,
dumbbell-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
seated-kettlebell-reverse-fly,front_traps,
cable-chest-supported-row,back_lats,"back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
plate-decline-sit-up,front_abs,
band-bench-one-arm-row,back_lats,front_biceps (40.0%)
machine-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
barbell-incline-bench-press,front_shoulders,
kettlebell-hip-thrust-hold,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
bench-dip,back_hamstrings,"front_chest (40.0%), front_shoulders (40.0%)"
med-ball-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
kettlebell-half-off-bench-press,front_chest,"back_hamstrings (40.0%), front_abs (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
