Exercise,primary,secondary
underhand-lat-pulldown,back_lats,front_biceps (40.0%)
seated-machine-reverse-fly,front_traps,
alternating-lat-pulldown,back_lats,front_biceps (40.0%)
single-leg-calf-raise-on-leg-press,back_calves,
single-leg-machine-leg-extension,front_quads,
hip-abduction-machine,front_hip_abductors,
machine-push-down,back_hamstrings,
assisted-hammer-pull-up,back_lats,front_biceps (40.0%)
assisted-pull-up,back_lats,front_biceps (40.0%)
single-leg-leg-press,front_quads,
single-arm-underhand-lat-pulldown,back_lats,front_biceps (40.0%)
machine-leg-press-calf-raise,back_calves,
machine-crunch,front_abs,
machine-leg-press,front_quads,
single-arm-lat-pulldown,back_lats,front_biceps (40.0%)
machine-pull-up,back_lats,front_biceps (40.0%)
single-leg-machine-hamstring-curl,back_hamstrings,
lat-pulldown,back_lats,front_biceps (40.0%)
machine-row,back_lats,front_biceps (40.0%)
assisted-dip,back_hamstrings,"front_chest (40.0%), front_shoulders (40.0%)"
machine-hammer-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
hammer-lat-pulldown,back_lats,front_biceps (40.0%)
machine-wide-row,back_lats,front_biceps (40.0%)
hip-adduction-machine,front_hip_adductors,
alternating-hammer-lat-pulldown,back_lats,front_biceps (40.0%)
seated-machine-overhead-press,front_shoulders,
wide-lat-pulldown,back_lats,front_biceps (40.0%)
machine-chest-fly,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
recumbent-machine-bike,front_quads,"back_glutes (40.0%), front_hip_flexors (40.0%)"
machine-hamstring-curl,back_hamstrings,
single-arm-hammer-lat-pulldown,back_lats,front_biceps (40.0%)
machine-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
stair-climb,front_quads,back_hamstrings (40.0%)
machine-leg-extension,front_quads,
machine-assisted-chin-up,back_lats,front_biceps (40.0%)
hammer-machine-overhead-press,front_shoulders,
alternating-underhand-lat-pulldown,back_lats,front_biceps (40.0%)
