Exercise,primary,secondary
dumbbell-burpee,front_quads,"back_calves (40.0%), back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
dumbbell-overhead-row-to-crunch,front_abs,"back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-hammer-curl,front_biceps,
dumbbell-single-windmill,front_shoulders,"back_lower_back (40.0%), front_abs (40.0%)"
dumbbell-side-plank-row,front_obliques,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
dumbbell-crunch-and-press,front_shoulders,front_chest (40.0%)
dumbbell-rear-delt-t,front_traps,
seated-dumbbell-rear-delt-t,front_traps,
single-leg-dumbbell-hip-thrust,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
dumbbell-hip-thrust-hold,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
dumbbell-turkish-get-up,front_abs,"back_glutes (40.0%), back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-romanian-deadlift,back_hamstrings,back_glutes (40.0%)
dumbbell-front-squat,front_quads,front_hip_flexors (40.0%)
dumbbell-superman,back_lower_back,"back_hamstrings (40.0%), front_shoulders (40.0%), front_traps (40.0%)"
dumbbell-double-windmill,front_obliques,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
dumbbell-toe-touch-crunch,front_abs,
dumbbell-box-jump,front_quads,back_hamstrings (40.0%)
alternating-dumbbell-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
half-kneeling-dumbbell-hammer-curl-to-press,front_shoulders,
dumbbell-side-plank-dip,front_obliques,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
dumbbell-standing-iyt,front_traps,
bosu-dumbbell-sit-up,front_abs,
bosu-dumbbell-crunch,front_abs,
dumbbell-around-the-world,front_shoulders,
seated-dumbbell-reverse-fly,front_traps,
dumbbell-dip,back_hamstrings,"front_chest (40.0%), front_shoulders (40.0%)"
dumbbell-lunge-to-donkey-kick,front_quads,
dumbbell-bent-over-swimmer,front_traps,
single-arm-dumbbell-chest-fly,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-sumo-goblet-squat,front_quads,
dumbbell-split-squat,front_quads,back_hamstrings (40.0%)
top-half-dumbbell-curl,front_biceps,
dumbbell-chair-leg-raise,front_hip_flexors,
dumbbell-jump-lunge,front_quads,back_hamstrings (40.0%)
band-dumbbell-pallof-punch,front_obliques,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
dumbbell-renegade-row,front_shoulders,"front_abs (40.0%), front_biceps (40.0%)"
dumbbell-v-up-hold,front_abs,
dumbbell-kickback,back_hamstrings,
dumbbell-power-step-up,front_quads,back_glutes (40.0%)
dumbbell-side-bend,front_obliques,
dumbbell-cossack-squat,front_quads,"back_hip_abductors (40.0%), back_hip_adductors (40.0%), back_hamstrings (40.0%), front_hip_abductors (40.0%), front_hip_adductors (40.0%)"
dumbbell-jump-squat,front_quads,"back_calves (40.0%), back_hamstrings (40.0%)"
dumbbell-front-raise,front_shoulders,
dumbbell-scapular-pull-up,front_traps,front_biceps (40.0%)
dumbbell-chest-supported-row,back_lats,"back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
seated-dumbbell-figure-8,front_shoulders,
dumbbell-standing-lumberjack,front_obliques,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
dumbbell-curl-switch,front_shoulders,front_traps (40.0%)
dumbbell-floor-i,front_traps,
dumbbell-trunk-rotation,front_obliques,front_abs (40.0%)
single-arm-dumbbell-overhead-press,front_shoulders,
dumbbell-half-squat,front_quads,"back_glutes (40.0%), back_hamstrings (40.0%)"
dumbbell-decline-bench-press,front_chest,back_hamstrings (40.0%)
dumbbell-lateral-lunge,front_quads,"back_hip_abductors (40.0%), front_hip_abductors (40.0%)"
dumbbell-overhead-squat,front_quads,"back_glutes (40.0%), back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-goblet-squat,front_quads,"back_hamstrings (40.0%), front_shoulders (40.0%)"
seated-dumbbell-lumberjack,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
half-dumbbell-burpee,front_quads,"back_calves (40.0%), back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
cable-pallof-punch,front_obliques,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
dumbbell-sit-up,front_abs,
dumbbell-alternating-lateral-front-raise,front_shoulders,
alternating-dumbbell-lateral-raise,front_shoulders,
dumbbell-skull-crusher,back_hamstrings,
dumbbell-step-up-to-reverse-lunge,front_quads,
dumbbell-overhead-press,front_shoulders,
dumbbell-walking-lunge,front_quads,
staggered-stance-dumbbell-romanian-deadlift,back_hamstrings,back_glutes (40.0%)
dumbbell-single-leg-wall-sit,front_quads,
single-leg-dumbbell-romanian-deadlift,back_hamstrings,back_glutes (40.0%)
dumbbell-floor-overhead-row,back_lats,
dumbbell-russian-twist,front_obliques,
dumbbell-half-off-bench-press,front_chest,"back_hamstrings (40.0%), front_abs (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
dumbbell-squat-hold,front_quads,"back_glutes (40.0%), back_hamstrings (40.0%)"
dumbbell-superman-hold,back_lower_back,"back_hamstrings (40.0%), front_shoulders (40.0%), front_traps (40.0%)"
dumbbell-crunch,front_abs,
dumbbell-wrist-curl-extension,front_forearms,
dumbbell-step-down,front_quads,
dumbbell-hip-thrust,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
alternating-dumbbell-overhead-press,front_shoulders,
single-leg-dumbbell-deadlift-to-press,front_shoulders,front_quads (40.0%)
dumbbell-curl-to-press,front_shoulders,
single-dumbbell-deadlift,back_hamstrings,front_quads (40.0%)
dumbbell-one-arm-snatch,front_quads,"back_lower_back (40.0%), back_hamstrings (40.0%), front_shoulders (40.0%), front_traps (40.0%)"
dumbbell-calf-raise,back_calves,
unilateral-dumbbell-hammer-curl-to-press,front_shoulders,
dumbbell-bulgarian-split-squat,front_quads,
dumbbell-overhead-lunge,front_shoulders,back_glutes (40.0%)
dumbbell-turkish-get-up-to-bridge,front_abs,"back_glutes (40.0%), back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-floor-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-halo,front_shoulders,
dumbbell-wrist-curl-flexion,front_forearms,
dumbbell-forward-lunge,front_quads,
dumbbell-step-up,front_quads,
dumbbell-squat,front_quads,"back_glutes (40.0%), back_hamstrings (40.0%)"
seated-dumbbell-curl,front_biceps,
dumbbell-farmers-carry,front_abs,"back_forearms (40.0%), front_forearms (40.0%)"
dumbbell-floor-iyt,front_traps,
dumbbell-kneeling-fire-hydrant,front_hip_abductors,"back_glutes (40.0%), front_hip_flexors (40.0%)"
yoga-ball-dumbbell-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-yoga-ball-upper-body-windshield-wiper,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-staggered-stance-row,back_lats,front_biceps (40.0%)
dumbbell-wall-sit-with-curl,front_quads,back_glutes (40.0%)
yoga-ball-dumbbell-sit-up,front_abs,
dumbbell-standing-fire-hydrant,front_hip_abductors,
dumbbell-lying-curl,front_biceps,
dumbbell-single-leg-bridge-bench-press,front_chest,"back_hamstrings (40.0%), front_abs (40.0%), front_quads (40.0%)"
dumbbell-hammer-curl-to-press,front_shoulders,
dumbbell-thruster,front_shoulders,back_glutes (40.0%)
dumbbell-push-press,front_shoulders,
dumbbell-wide-bent-over-row,back_lats,front_biceps (40.0%)
dumbbell-bench-one-arm-row,back_lats,front_biceps (40.0%)
yoga-ball-dumbbell-lateral-raise,front_shoulders,
dumbbell-chest-fly,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-clean-and-jerk,front_traps,back_lower_back (40.0%)
dumbbell-decline-sit-up,front_abs,
dumbbell-archer-row,back_lats,"back_hamstrings (40.0%), front_biceps (40.0%), front_shoulders (40.0%)"
dumbbell-leg-raise,front_hip_flexors,front_obliques (40.0%)
dumbbell-arnold-press,front_shoulders,
dumbbell-lying-leg-raise,front_abs,front_hip_flexors (40.0%)
west-side-dumbbell-box-squat,front_quads,
dumbbell-lying-alternating-arm-leg-reach,front_shoulders,front_abs (40.0%)
dumbbell-lunge-to-lateral-raise,front_shoulders,
dumbbell-pistol-squat,front_quads,
seated-dumbbell-hammer-curl,front_biceps,
single-leg-dumbbell-deadlift,back_hamstrings,front_quads (40.0%)
half-kneeling-dumbbell-lumberjack,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-lying-reverse-fly,front_traps,
dumbbell-front-rack-lunge,front_quads,front_hip_flexors (40.0%)
dumbbell-bent-over-row,back_lats,"back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
dumbbell-face-pull,front_traps,
dumbbell-floor-y,front_traps,
dumbbell-reverse-curl,front_biceps,"back_forearms (40.0%), front_forearms (40.0%)"
dumbbell-half-burpee-walkout,front_quads,"back_calves (40.0%), back_hamstrings (40.0%), front_shoulders (40.0%)"
half-kneeling-dumbbell-curl-to-press,front_shoulders,
dumbbell-one-arm-row,back_lats,front_biceps (40.0%)
dumbbell-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
alternating-dumbbell-hammer-curl-to-press,front_shoulders,
dumbbell-sumo-deadlift,front_quads,back_lower_back (40.0%)
dumbbell-deadlift,back_hamstrings,front_quads (40.0%)
dumbbell-back-extension,back_lower_back,"back_glutes (40.0%), back_hamstrings (40.0%)"
dumbbell-external-rotation,front_shoulders,
half-kneeling-dumbbell-overhead-press,front_shoulders,
dumbbell-lunge-and-press,front_shoulders,
dumbbell-floor-tricep-cycle,back_hamstrings,"front_chest (40.0%), front_shoulders (40.0%)"
dumbbell-floor-squeeze-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
seated-dumbbell-curl-to-press,front_shoulders,
dumbbell-standing-snow-angel,front_shoulders,
dumbbell-sumo-squat,front_quads,
dumbbell-bent-over-w-raise,front_traps,
yoga-ball-dumbbell-crunch,front_abs,
dumbbell-box-squat,front_quads,back_hamstrings (40.0%)
dumbbell-standing-figure-8,front_shoulders,
dumbbell-one-arm-elevated-push-up,front_chest,back_hamstrings (40.0%)
dumbbell-reverse-half-lunge,front_quads,
dumbbell-deadlift-to-press,front_shoulders,front_quads (40.0%)
dumbbell-internal-rotation,front_shoulders,
seated-dumbbell-hammer-curl-to-press,front_shoulders,
dumbbell-front-rack-split-squat,front_quads,front_hip_flexors (40.0%)
dumbbell-shrug,front_traps,
dumbbell-reverse-lunge,front_quads,back_hamstrings (40.0%)
dumbbell-tricep-extension,back_hamstrings,
dumbbell-plie-squat-to-calf-raise,front_quads,"back_calves (40.0%), back_glutes (40.0%)"
dumbbell-reach-curl-forward-lunge,front_quads,"back_hamstrings (40.0%), front_biceps (40.0%)"
yoga-ball-dumbbell-hammer-curl-to-press,front_shoulders,
single-leg-dumbbell-calf-raise,back_calves,
dumbbell-reverse-fly,front_traps,
dumbbell-lying-alt-leg-raise,front_hip_flexors,
dumbbell-man-maker-push-up,front_shoulders,"back_lats (40.0%), front_abs (40.0%), front_biceps (40.0%), front_hip_flexors (40.0%), front_quads (40.0%)"
dumbbell-incline-bench-press,front_shoulders,
dumbbell-overhead-lunge-hold,front_shoulders,back_glutes (40.0%)
dumbbell-firemans-carry,front_shoulders,front_obliques (40.0%)
dumbbell-step-up-to-lateral-leg-raise,front_quads,"back_hip_abductors (40.0%), front_hip_abductors (40.0%)"
dumbbell-overhead-row,back_lats,
yoga-ball-dumbbell-hip-thrust,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
yoga-ball-dumbbell-reverse-curl,front_biceps,"back_forearms (40.0%), front_forearms (40.0%)"
dumbbell-forearm-rotation,front_forearms,
dumbbell-upright-row,front_shoulders,front_traps (40.0%)
dumbbell-preacher-curl,front_biceps,
alternating-dumbbell-curl,front_biceps,
dumbbell-clean-and-press,front_traps,back_lower_back (40.0%)
dumbbell-floor-t,front_traps,
dumbbell-curl,front_biceps,
seated-dumbbell-overhead-press,front_shoulders,
dumbbell-overhead-walk,front_shoulders,front_abs (40.0%)
single-leg-dumbbell-box-squat,front_quads,back_hamstrings (40.0%)
dumbbell-forward-lunge-hold,front_quads,
dumbbell-clean,front_traps,"back_lower_back (40.0%), front_shoulders (40.0%)"
dumbbell-v-up,front_abs,
half-dumbbell-curl,front_biceps,
dumbbell-devils-press,front_shoulders,front_abs (40.0%)
dumbbell-lateral-raise,front_shoulders,
dumbbell-tate-press,back_hamstrings,
dumbbell-lumberjack-squat,front_obliques,"back_hamstrings (40.0%), front_quads (40.0%), front_shoulders (40.0%)"
dumbbell-floor-chest-fly,front_chest,
