Exercise,primary,secondary
yoga-ball-band-sit-up,front_abs,
yoga-ball-single-kettlebell-crunch,front_abs,
yoga-ball-hands-to-feet,front_hip_flexors,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
yoga-ball-kneeling-rollout,front_abs,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
yoga-ball-hip-thrust,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
yoga-ball-med-ball-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
yoga-ball-leg-curl,back_hamstrings,
med-ball-yoga-ball-upper-body-windshield-wiper,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
yoga-ball-kneeling-plank-circle,front_abs,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
yoga-ball-plank,front_abs,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
yoga-ball-plank-circle,front_abs,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
yoga-ball-kettlebell-hammer-curl-to-press,front_shoulders,
yoga-ball-leg-raise,front_hip_flexors,
yoga-ball-band-reverse-curl,front_biceps,"back_forearms (40.0%), front_forearms (40.0%)"
yoga-ball-high-balance,front_abs,
yoga-ball-standing-rollout,front_abs,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
yoga-ball-single-leg-curl,back_hamstrings,back_glutes (40.0%)
kettlebell-yoga-ball-upper-body-windshield-wiper,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
yoga-ball-band-lateral-raise,front_shoulders,
yoga-ball-low-balance,front_abs,"back_hamstrings (40.0%), front_shoulders (40.0%)"
yoga-ball-crunch,front_abs,
yoga-ball-dumbbell-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-yoga-ball-upper-body-windshield-wiper,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
yoga-ball-plank-shoulder-tap,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
yoga-ball-dumbbell-sit-up,front_abs,
yoga-ball-single-kettlebell-sit-up,front_abs,
yoga-ball-dumbbell-lateral-raise,front_shoulders,
yoga-ball-kettlebell-lateral-raise,front_shoulders,
yoga-ball-upper-body-windshield-wiper,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
yoga-ball-kettlebell-hip-thrust,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
yoga-ball-kettlebell-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
yoga-ball-dumbbell-crunch,front_abs,
yoga-ball-med-ball-sit-up,front_abs,
yoga-ball-med-ball-crunch,front_abs,
yoga-ball-dumbbell-hammer-curl-to-press,front_shoulders,
yoga-ball-kettlebell-reverse-curl,front_biceps,"back_forearms (40.0%), front_forearms (40.0%)"
yoga-ball-dumbbell-hip-thrust,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
yoga-ball-dumbbell-reverse-curl,front_biceps,"back_forearms (40.0%), front_forearms (40.0%)"
yoga-ball-sit-up,front_abs,
yoga-ball-knee-tuck,front_abs,front_hip_flexors (40.0%)
